query,product_id,title,description,category,price,brand,rating,tags,total_views,total_clicks,total_add_to_cart,total_purchases,ctr,atc_rate,purchase_rate,recent_views_7d,recent_purchases_7d,popularity,query_product_views,query_product_clicks,query_product_purchases,query_ctr,query_purchase_rate,tfidf_similarity
3m,23,3M Battery 23,High-quality battery from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,16.06,3M,3.9,"trending,popular,classic,new",42,22,10,4,0.5116279069767442,0.23255813953488372,0.09302325581395349,6.0,0.0,0.5753424657534246,7,3,0,0.375,0.0,0.3333333333333333
3m,53,3M Air Freshener 53,High-quality air freshener from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,23.9,3M,4.5,"eco-friendly,popular,classic,modern",49,18,7,1,0.36,0.14,0.02,10.0,1.0,0.6712328767123288,7,1,0,0.125,0.0,0.25
3m,66,3M Tire 66,High-quality tire from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,5.54,3M,3.9,"bestseller,new,limited",53,24,7,1,0.4444444444444444,0.12962962962962962,0.018518518518518517,5.0,0.0,0.726027397260274,9,3,0,0.3,0.0,0.3333333333333333
3m,92,3M Brake Pad 92,High-quality brake pad from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,52.94,3M,2.5,"sale,popular",66,29,11,4,0.43283582089552236,0.16417910447761194,0.05970149253731343,11.0,0.0,0.9041095890410958,15,6,1,0.375,0.0625,0.25
3m,168,3M Battery 68,High-quality battery from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,32.72,3M,4.7,"premium,sale",61,16,5,0,0.25806451612903225,0.08064516129032258,0.0,9.0,0.0,0.8356164383561644,7,0,0,0.0,0.0,0.3333333333333333
3m,182,3M Tire 82,High-quality tire from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,11.14,3M,4.3,"new,classic,sale,eco-friendly",45,15,9,5,0.32608695652173914,0.1956521739130435,0.10869565217391304,4.0,0.0,0.6164383561643836,9,2,1,0.2,0.1,0.3333333333333333
3m,198,3M Tire 98,High-quality tire from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,27.36,3M,2.6,"limited,trending",42,20,9,2,0.46511627906976744,0.20930232558139536,0.046511627906976744,4.0,0.0,0.5753424657534246,7,3,0,0.375,0.0,0.3333333333333333
3m,230,3M Air Freshener 30,High-quality air freshener from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,51.26,3M,4.3,"classic,modern,new,premium",49,17,10,4,0.34,0.2,0.08,6.0,0.0,0.6712328767123288,6,2,0,0.2857142857142857,0.0,0.25
3m,231,3M Air Freshener 31,High-quality air freshener from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,57.66,3M,3.5,"limited,bestseller,premium",62,23,8,3,0.36507936507936506,0.12698412698412698,0.047619047619047616,7.0,0.0,0.8493150684931506,11,3,1,0.25,0.08333333333333333,0.25
3m,268,3M Brake Pad 68,High-quality brake pad from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,13.2,3M,4.4,"popular,trending,limited",58,18,7,1,0.3050847457627119,0.11864406779661017,0.01694915254237288,7.0,0.0,0.7945205479452054,6,2,0,0.2857142857142857,0.0,0.25
3m,318,3M Tire 18,High-quality tire from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,56.86,3M,4.6,"modern,popular,new,trending",57,24,10,1,0.41379310344827586,0.1724137931034483,0.017241379310344827,7.0,0.0,0.7808219178082192,13,7,0,0.5,0.0,0.3333333333333333
3m,344,3M Battery 44,High-quality battery from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,34.4,3M,4.8,"classic,premium,modern",61,30,8,2,0.4838709677419355,0.12903225806451613,0.03225806451612903,7.0,0.0,0.8356164383561644,6,2,0,0.2857142857142857,0.0,0.3333333333333333
3m,353,3M Air Freshener 53,High-quality air freshener from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,19.91,3M,3.4,"sale,modern,bestseller,popular",58,24,6,3,0.4067796610169492,0.1016949152542373,0.05084745762711865,7.0,1.0,0.7945205479452054,10,4,1,0.36363636363636365,0.09090909090909091,0.25
